uuid,name,type,permalink,cb_url,rank,created_at,updated_at,person_uuid,person_name,org_uuid,org_name,started_on,ended_on,is_current,title,job_type
20c048ea-34ac-83bd-27bd-c66a8fa970e8,Jeff Phillips Board Of Director @ Tritium,job,jeff-phillips-3-board-member-tritium--20c048ea,https://www.crunchbase.com/job/jeff-phillips-3-board-member-tritium--20c048ea,,2017-08-01 12:22:48,2018-02-13 01:21:04,e519ca2c-073e-3ea4-6327-3fad2f245565,Jeff Phillips,014f4278-93e6-ff40-2266-632b43910293,Tritium,,,True,Board Of Director,board_member
d58a9029-fd46-3b36-8695-c28d2b4a3ede,"Shawn Pittman Co-Founder, CFO @ TourRadar",job,shawn-pittman-executive-tourradar--d58a9029,https://www.crunchbase.com/job/shawn-pittman-executive-tourradar--d58a9029,,2010-09-17 12:53:54,2018-02-13 01:35:51,22c7531c-af96-6f89-4255-026b95e3a3da,Shawn Pittman,6e63b89e-a87e-3e12-2e00-2139a2db3b28,TourRadar,2010-07-01,,True,"Co-Founder, CFO",executive
83e01f97-95ff-f795-23ea-15b981661309,Jerónimo López CTO @ Otogami,job,jernimo-lpez-executive-otogami--83e01f97,https://www.crunchbase.com/job/jernimo-lpez-executive-otogami--83e01f97,,2013-11-26 08:43:36,2018-02-13 01:28:58,4e72701a-48ed-054b-f58c-cd69dfff042a,Jerónimo López,3cac08e9-4d77-a806-128f-83013df56131,Otogami,,,True,CTO,executive
ec2ec0a9-abd3-5207-d883-b592fe64d555,Nick Stultz Co-Owner @ S.C.N.Technologies,job,nick-stultz-employee-s-c-n-technologies--ec2ec0a9,https://www.crunchbase.com/job/nick-stultz-employee-s-c-n-technologies--ec2ec0a9,,2013-07-23 03:18:45,2018-02-13 01:37:48,a7999339-fc02-923b-22f4-16af401a0394,Nick Stultz,cf8cad25-8081-f6c9-5c8f-a32f9b5b79be,S.C.N.Technologies,,,True,Co-Owner,employee
be2086ab-76c3-431a-99cb-d47077795b9d,Han Rui partner @ Gaorong Capital,job,han-rui-executive-banyan-capital--be2086ab,https://www.crunchbase.com/job/han-rui-executive-banyan-capital--be2086ab,,2018-02-12 09:44:29,2018-02-13 00:07:18,07a13ec7-99c3-411e-ab57-033eef110a8f,Han Rui,c3d41347-7e5a-904e-012c-f7bfe4e7a921,Gaorong Capital,,,True,partner,executive
eb38e9d7-f58c-49e0-8860-75fe15f1d16b,bohan yoon CEO @ d.AntWort Inc,job,bohan-yoon-executive-d-antwort-inc--eb38e9d7,https://www.crunchbase.com/job/bohan-yoon-executive-d-antwort-inc--eb38e9d7,,2018-01-05 06:53:55,2018-02-12 22:29:25,5f5502b4-3e1a-d65a-f35c-e4dbebfdb146,bohan yoon,ace6dadd-cb6c-4a9b-90f2-1ef5542dbde3,d.AntWort Inc,,,True,CEO,executive
918fe54f-802d-5a88-a802-7b577a193a5a,Thomas Thekkethala Co-Founder @ JT Venture Partners,job,thomas-thekkethala-executive-jt-venture-partners--918fe54f,https://www.crunchbase.com/job/thomas-thekkethala-executive-jt-venture-partners--918fe54f,,2014-01-09 12:09:22,2018-02-13 01:30:00,80dff1eb-d4c0-c06f-f148-1725b4bbfc3e,Thomas Thekkethala,a70917db-507e-42a6-b01d-627176dac236,JT Venture Partners,,,True,Co-Founder,executive
541a8b41-f5b6-b794-a8f9-da2aaee64897,Alexander Birkeslund Account Manager @ Blackwood Seven,job,alexander-birkeslund-employee-blackwood-seven--541a8b41,https://www.crunchbase.com/job/alexander-birkeslund-employee-blackwood-seven--541a8b41,,2015-03-24 10:24:39,2018-04-13 10:02:03,5a0eab13-3dd3-d0af-773c-8f549c8bb9ae,Alexander Birkeslund,ed062969-1b6d-897b-c2c3-9c87b35863dd,Blackwood Seven,2015-01-20,,False,Account Manager,employee
e3abd5b6-f564-433b-8639-2cc450814669,Joseph Avila Director of Business Development @ Pioneer,job,joseph-avila-executive-pioneer--e3abd5b6,https://www.crunchbase.com/job/joseph-avila-executive-pioneer--e3abd5b6,,2017-11-03 03:21:18,2018-02-13 00:08:21,aef7dfd3-b8b6-affe-d5a5-87db4beb8740,Joseph Avila,f62b1a04-bad9-40d7-425e-15efed6d5585,Pioneer,,,True,Director of Business Development,executive
f594d351-abc8-84dc-3675-0e2adbd33c58,"Ramon Blanco Duelo Co-founder, CEO and Board Member @ Bewa7er",job,ramon-blanco-executive-bewa7er--f594d351,https://www.crunchbase.com/job/ramon-blanco-executive-bewa7er--f594d351,,2014-10-08 20:02:30,2018-11-29 11:56:23,755d781b-0635-2e33-5662-e36d8206855d,Ramon Blanco Duelo,55561c1b-d8fa-d391-4f8b-3610e8de035d,Bewa7er,2014-06-10,,True,"Co-founder, CEO and Board Member",executive
